learning_rate,regularization_lambda,batch_size,num_epochs,train_auc,val_auc
0.0005,0,64,250,0.8222061718318714,0.8401501502383095
0.0001,0.01,64,250,0.801283620582634,0.8189810453969371
0.0002,0,64,250,0.8114672118460291,0.8295484029613178
0.0001,0.01,128,150,0.7816449794104984,0.7972411552035689
0.0001,0.001,64,250,0.8024199899099556,0.8201490374654951
5e-05,0.001,32,200,0.7999006738142218,0.8174346965918676
0.0005,0.05,128,150,0.8013018143590313,0.8190281565073023
0.0001,0.01,128,200,0.7885207308150485,0.8046585688679158
0.0005,0.001,32,200,0.82572751914335,0.8431027027797791
0.0001,0,128,150,0.7827301145563417,0.7986540691277957
5e-05,0,32,250,0.8024712029604507,0.8203353849732613
0.0002,0.01,128,150,0.7947111790824398,0.8117609531933644
0.0001,0.05,128,150,0.7801528277217366,0.7953284021840543
0.0002,0.05,64,250,0.8049443901202089,0.8228117238724159
0.0005,0.01,32,250,0.8251182875451344,0.8433470654531291
5e-05,0.05,64,250,0.7883530818218076,0.8045773476360987
0.0005,0,128,250,0.7898432450850654,0.806103181439844
5e-05,0.0001,128,150,0.733958235668571,0.7494196386507936
0.0001,0.05,64,150,0.7595034557081389,0.7732870777719156
0.0002,0.001,32,250,0.7962787197793925,0.8133579429471872
0.001,0.01,32,250,0.8067390635276591,0.8267774099290089
0.0005,0.05,128,200,0.8032004522030372,0.8213365659663188
5e-05,0.0001,32,250,0.7724370500091127,0.7870074547390842
0.0005,0.05,64,250,0.8057387988620965,0.8256137515234223
0.0002,0.001,128,250,0.8850890295860175,0.8986273751618483
5e-05,0.001,32,150,0.7549919485671872,0.7683764784431022
0.0002,0.05,64,200,0.8992219297341986,0.9127425348461452
0.001,0,128,200,0.9776393712475996,0.9836953619461333
0.0005,0.01,64,250,0.9640748142454522,0.9715956351346553
0.001,0.001,128,150,0.8162174568333638,0.8343569515169358
0.001,0.001,128,200,0.8194026271094664,0.8375756049444019
0.001,0.001,64,200,0.8257792139802584,0.8431251399703243
0.001,0.01,128,200,0.8163231793677083,0.834449146701761
0.0001,0.01,32,150,0.8037522899382181,0.821694058212557
5e-05,0.01,32,200,0.7983977030621436,0.815882056985711
0.0001,0.0001,64,200,0.8002419349641169,0.817893295991138
0.0002,0.001,128,200,0.7996249187117497,0.8170935953773517
5e-05,0.0001,64,150,0.7814911754373453,0.797014756262213
0.001,0.05,128,250,0.8205147887826176,0.8386833451181006
5e-05,0.01,128,150,0.7576609121717104,0.7725499706289487
0.0002,0.01,128,250,0.8013648480814388,0.8189944657725902
0.0005,0,32,150,0.8240389422886439,0.8415534182675358
0.001,0.05,64,200,0.8210083578320668,0.8392436458016171
5e-05,0.01,32,150,0.7949537205057701,0.8118111398064837
0.001,0,32,200,0.8297643018455272,0.8473563327817001
0.001,0.0001,32,200,0.8296688700999231,0.8473431220994164
0.001,0.0001,32,150,0.8286375682464717,0.8460819562769752
0.001,0,32,250,0.8302566114883871,0.847853515760973
0.0001,0,32,200,0.8085898143379003,0.8266705012594184
0.0002,0.001,64,150,0.8052457813313048,0.823058532968411
0.0001,0.001,128,150,0.7822466587953756,0.7982199339549765
0.0005,0.001,128,250,0.8138808476693846,0.8318563580846998
5e-05,0,128,200,0.7695474620368682,0.7850302210084239
0.0002,0.01,32,200,0.8139925164623565,0.8319542848882935
0.0005,0.001,128,200,0.8110952389253838,0.829122375932122
0.0005,0.001,32,150,0.8233804797261426,0.8411156484096436
0.0005,0.001,32,250,0.8270931596366526,0.8445202998559267
0.0002,0.001,64,250,0.8111084795993565,0.8292199532467662
0.0005,0.0001,128,250,0.8140194077513728,0.8320628361559459
0.001,0,32,150,0.828705035249121,0.8461857544949172
0.001,0.05,32,250,0.8184791904720398,0.8369187055152991
0.0005,0.0001,32,250,0.8277169758393622,0.8450852137935739
5e-05,0.01,128,200,0.7704319796297323,0.7856818781032872
0.0001,0.001,64,200,0.7999010245885401,0.8173508891418257
0.001,0,128,250,0.8222331645496064,0.8400941621086317
0.0001,0,64,150,0.7958365518461876,0.8126469775776278
0.001,0.0001,32,250,0.8301926184193497,0.84781017913126
0.001,0.05,32,150,0.8194589792150369,0.8378503731563409
0.0005,0.05,32,250,0.8201431962196671,0.838440869685077
5e-05,0,64,150,0.7836578576881119,0.8000316846681435
0.001,0.001,32,150,0.8279289491826272,0.8454696516378031
0.0001,0,32,150,0.805151562504127,0.822973746949311
0.001,0.01,32,150,0.8262034776315337,0.8446516378030733
5e-05,0.001,64,250,0.7933344110134684,0.8100681685185387
0.0002,0.0001,128,150,0.7959495518910908,0.8130918770100857
0.0005,0.01,64,150,0.8132042504972384,0.8311797474788566
0.0005,0.05,64,150,0.8117319999683035,0.8296313716378814
0.0005,0.0001,64,250,0.8221350914311223,0.8400792738793916
0.001,0.05,64,250,0.820117661539762,0.8384078080304732
0.0001,0.05,128,200,0.7843167809060438,0.8003122543966408
0.0001,0,32,250,0.811342361545837,0.8294508256466734
0.0002,0.001,32,150,0.8133140175017366,0.8313735041523482
0.0005,0.05,32,200,0.8209973950780658,0.8392326718486092
5e-05,0.05,32,150,0.7909223938234137,0.8074483294568018
0.0005,0.0001,32,200,0.826397650234686,0.8436210647893797
0.0002,0.05,64,150,0.798830976964587,0.8162973896530581
0.0002,0.01,128,200,0.7988188942684851,0.8160608555321724
5e-05,0.01,128,250,0.7764633031424413,0.7914417355788976
0.0001,0.05,32,150,0.7989010303995605,0.8163557543075911
0.0001,0.001,32,250,0.8113338584382619,0.8294623587820003
5e-05,0.01,64,250,0.7925323380640321,0.8090346597976711
0.001,0.05,128,150,0.8118088829369954,0.8297095872647345
0.0001,0.0001,32,150,0.8048482145640018,0.8226545237430211
0.0002,0.05,128,250,0.7970545628395815,0.8143907876390513
5e-05,0.01,32,250,0.801571073797317,0.819172565341153
5e-05,0.05,128,250,0.7750131936575355,0.790494480730717
0.0002,0,128,150,0.7957583376255642,0.812747141110497
0.0001,0.001,32,150,0.8051462459487944,0.8231096282527984
0.0001,0.05,32,200,0.8020321349424577,0.8198284862011977
0.0005,0.0001,128,150,0.8079236516451791,0.8259183311427365
5e-05,0.001,128,200,0.7726247501921599,0.7871170195246894
0.0005,0,128,150,0.8079315715376224,0.8258718491124797
0.0001,0.01,64,200,0.7988630537968414,0.8163054977966817
5e-05,0,32,200,0.8000621272032351,0.8177404295247146
0.0002,0.01,32,150,0.8109288916006984,0.8288666199190247
5e-05,0.001,128,150,0.75622935991611,0.7719270415257178
5e-05,0.01,64,200,0.7885126968152967,0.8045107350423624
0.0001,0.05,128,250,0.7881956855815379,0.8045324732550087
5e-05,0.05,32,250,0.7969429236299859,0.8142005258550526
5e-05,0.001,64,200,0.7892824647178618,0.8055413779538457
0.0001,0.001,64,150,0.795134238267682,0.8120208331760632
0.0002,0.0001,64,150,0.8049652337218793,0.822860023245209
0.0005,0.0001,128,200,0.8112451970596237,0.8292869852272419
0.0001,0.05,64,250,0.7969229633034066,0.8142059079848719
5e-05,0.05,64,150,0.7786740392666494,0.7943637427861985
